,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
SGP UN Equity,12/2/91,7.4688,,,,,,,,,
WYE UN Equity,12/2/91,19.125,,,,,,,,,
MSI UN Equity,12/2/91,18.4426,,,,,,,,,
0226226D UN Equity,12/2/91,4.0387,,,,,,,,,
ROH UN Equity,12/2/91,12.6667,,,,,,,,,
THC UN Equity,12/2/91,35.6667,,,,,,,,,
NWL UN Equity,12/2/91,20.1875,,,,,,,,,
3517233Q UN Equity,12/2/91,26.5,,,,,,,,,
NEM UN Equity,12/2/91,33.3507,,,,,,,,,
1073675D UQ Equity,12/2/91,10.8125,,,,,,,,,
1255173D UN Equity,12/2/91,13.1875,,,,,,,,,
263179Q US Equity,12/2/91,21.125,,,,,,,,,
MER UN Equity,12/2/91,6.2813,,,,,,,,,
NKE UN Equity,12/2/91,1.8906,,,,,,,,,
0948669D US Equity,12/2/91,17.75,,,,,,,,,
NSC UN Equity,12/2/91,19,,,,,,,,,
3286728Q UN Equity,12/2/91,7.0313,,,,,,,,,
3393199Q UN Equity,12/2/91,13.3531,,,,,,,,,
NOC UN Equity,12/2/91,9.525,,,,,,,,,
WWY UN Equity,12/2/91,8.3833,,,,,,,,,
WFC UN Equity,12/2/91,3.7813,,,,,,,,,
204923Q US Equity,12/2/91,46.7247,,,,,,,,,
3022239Q UN Equity,12/2/91,4.3327,,,,,,,,,
NUE UN Equity,12/2/91,5.125,,,,,,,,,
OXY UN Equity,12/2/91,9.3526,,,,,,,,,
PCG UN Equity,12/2/91,31.25,,,,,,,,,
PH UN Equity,12/2/91,8.5926,,,,,,,,,
HET UN Equity,12/2/91,4.8838,,,,,,,,,
JCP UN Equity,12/2/91,26,,,,,,,,,
TRB UN Equity,12/2/91,9.375,,,,,,,,,
PEP UN Equity,12/2/91,14.15,,,,,,,,,
DJ UN Equity,12/2/91,23.5,,,,,,,,,
EXC UN Equity,12/2/91,12.1875,,,,,,,,,
NYT US Equity,12/2/91,9.5625,,,,,,,,,
NAE US Equity,12/2/91,14.375,,,,,,,,,
TEK UN Equity,12/2/91,5.6667,,,,,,,,,
PHM UN Equity,12/2/91,2.2188,,,,,,,,,
BOL UN Equity,12/2/91,53,,,,,,,,,
PBI UN Equity,12/2/91,14.4554,,,,,,,,,
PNC UN Equity,12/2/91,21.125,,,,,,,,,
