,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
KBH UN Equity,12/3/01,16.69
MBI UN Equity,12/3/01,50.82
DYNIQ UN Equity,12/3/01,135.85
CVG UN Equity,12/3/01,34.87
BMC UN Equity,12/3/01,16.29
MAT UN Equity,12/3/01,18.22
RRD UN Equity,12/3/01,47.2746
JNY UN Equity,12/3/01,31.26
RIG UN Equity,12/3/01,41.0234
KATE UN Equity,12/3/01,24.47
ASH UN Equity,12/3/01,17.329
HPC US Equity,12/3/01,10.11
UIS UN Equity,12/3/01,120.6
MTG UN Equity,12/3/01,58.49
DDS UN Equity,12/3/01,16.2
ADP UN Equity,12/3/01,43.5527
WAMUQ UN Equity,12/3/01,31.03
LEHMQ UN Equity,12/3/01,31.7
FMCC UN Equity,12/3/01,65.78
FNMA UN Equity,12/3/01,77.6
OMX UN Equity,12/3/01,32.04
BC UN Equity,12/3/01,19.59
ABKFQ UN Equity,12/3/01,55.75
CA UN Equity,12/3/01,33
CCTYQ UN Equity,12/3/01,11.5473
1541931D UQ Equity,12/3/01,22.49
SNV UN Equity,12/3/01,70.5892
TIN UN Equity,12/3/01,16.5637
3414924Q US Equity,12/3/01,11.45
0910150D US Equity,12/3/01,10.14
TXU US Equity,12/3/01,22.46
NCR UN Equity,12/3/01,8.9569
4621824Q UN Equity,12/3/01,49.15
HMA UN Equity,12/3/01,19.31
CMVT UQ Equity,12/3/01,11.1987
NAV UN Equity,12/3/01,36.81
1281683D UN Equity,12/3/01,24.8433
LPX UN Equity,12/3/01,7.85
CTB UN Equity,12/3/01,14.53
ADBE UQ Equity,12/3/01,15.98
AMGN UQ Equity,12/3/01,65.48
AAPL UQ Equity,12/3/01,1.5036
ADSK UQ Equity,12/3/01,9.1725
CTAS UQ Equity,12/3/01,41.76
CSCO UQ Equity,12/3/01,19.86
CMCSA UQ Equity,12/3/01,12.7533
DELL UQ Equity,12/3/01,27.66
GENZ UQ Equity,12/3/01,55.3
KLAC UQ Equity,12/3/01,49.93
MOLX UQ Equity,12/3/01,28.58
NOVL UQ Equity,12/3/01,4.25
ORCL UQ Equity,12/3/01,13.7
PCAR UQ Equity,12/3/01,11.917
COST UQ Equity,12/3/01,40.22
SIAL UQ Equity,12/3/01,21.28
